Product_ID;Product_Name;Category;Sale_Price_EUR;Cost_Price_EUR;Stock;Country_Origin;Brand;Color;Size;Gender
S000050;Bracelet;Accessories;72,72;-55,99;450;Uruguay;Under Armour;Red;M;Female
S000051;Pants;Clothing;453,07;-339,80;398;Germany;Reebok;Gray;L;Male
S000052;Football shoes;Footwear;307,25;-168,99;498;Mexico;Reebok;Black;XL;Female
S000053;Pants;Clothing;46,88;-24,38;254;Mexico;Adidas;Blue;L;Male
S000054;Rackets;Equipment;247,12;-187,81;295;Japan;Nike;Black;M;Male
S000055;Towel;Accessories;56,18;-36,52;90;Australia;Adidas;Green;XL;Male
S000056;Balls;Equipment;472,52;-311,86;493;EE.UU.;Puma;Green;L;Female
S000057;Foam Roller;Equipment;172,66;-115,68;292;Mexico;Nike;White;M;Female
S000058;Boots;Footwear;348,42;-243,89;112;Spain;Adidas;Green;M;Female
S000059;Towel;Accessories;266,46;-186,52;313;Mexico;Adidas;Red;M;Male
S000060;Sunglasses;Accessories;469,51;-342,74;498;Japan;Puma;Black;XL;Female
S000061;Jump Rope;Equipment;377,24;-279,16;398;Australia;Puma;Red;M;Female
S000062;Yoga mat;Equipment;175,44;-89,47;438;Australia;Reebok;Gray;L;Male
S000063;Bracelet;Accessories;153,53;-78,30;191;Spain;Under Armour;Blue;M;Female
S000064;Coat;Clothing;441,85;-322,55;58;Spain;Nike;Blue;S;Male
S000065;Weight Discs;Equipment;119,51;-72,90;12;Mexico;Adidas;Blue;XL;Female
S000066;Sandals;Footwear;415,77;-328,46;68;Mexico;Reebok;White;S;Male
S000067;Foam Roller;Equipment;175,85;-135,40;211;Uruguay;Reebok;Blue;XL;Female
S000068;Coat;Clothing;210,32;-159,84;255;Uruguay;Under Armour;Green;S;Female
S000069;Shorts;Clothing;32,27;-18,07;457;Uruguay;Puma;Red;S;Female
S000070;Sneakers;Footwear;262,29;-167,87;297;Spain;Reebok;Red;XL;Female
S000071;Sunglasses;Accessories;371,71;-223,03;37;Japan;Puma;Gray;L;Male
S000072;Football shoes;Footwear;365,91;-193,93;91;Spain;Under Armour;Red;M;Male
S000073;Towel;Accessories;441,42;-278,09;14;EE.UU.;Reebok;Green;S;Female
S000074;Shorts;Clothing;50,50;-39,90;26;Japan;Nike;Blue;L;Female
S000075;Foam Roller;Equipment;301,85;-163,00;63;Spain;Under Armour;Red;L;Female
S000076;Bracelet;Accessories;177,32;-141,86;100;Australia;Reebok;Red;S;Male
S000077;Running shoes;Footwear;74,69;-54,52;327;Uruguay;Nike;Black;L;Male
S000078;Gloves;Accessories;136,79;-72,50;447;EE.UU.;Reebok;Red;S;Female
S000079;Balls;Equipment;323,24;-226,27;320;Australia;Nike;Gray;S;Male
S000080;Pants;Clothing;459,97;-335,78;382;EE.UU.;Nike;Gray;L;Female
S000081;Gloves;Accessories;331,26;-231,88;39;Mexico;Reebok;Green;M;Female
S000082;Jacket;Clothing;263,63;-147,63;127;Spain;Nike;Gray;M;Female
S000083;Shorts;Clothing;13,96;-9,63;265;Spain;Under Armour;Red;S;Female
S000084;Jump Rope;Equipment;312,25;-209,21;178;Germany;Puma;Green;XL;Female
S000085;Sunglasses;Accessories;176,89;-102,60;88;Mexico;Nike;Blue;M;Male
S000086;Backpack;Accessories;305,96;-180,52;137;Mexico;Under Armour;Black;S;Female
S000087;Cap;Accessories;495,68;-371,76;50;EE.UU.;Puma;Red;M;Male
S000088;Boots;Footwear;252,77;-184,52;401;Australia;Under Armour;White;S;Female
S000089;Yoga mat;Equipment;397,90;-258,64;31;Japan;Under Armour;Green;L;Female
S000090;Resitance bands;Equipment;268,41;-195,94;395;Germany;Under Armour;Red;XL;Female
S000091;Foam Roller;Equipment;240,34;-170,64;60;Uruguay;Puma;Gray;S;Female
S000092;Cap;Accessories;76,15;-41,88;117;Brazil;Adidas;White;M;Female
S000093;Football shoes;Footwear;351,05;-193,08;42;Spain;Adidas;Gray;L;Male
S000094;Backpack;Accessories;76,92;-40,00;156;Japan;Adidas;Red;XL;Male
S000095;Pants;Clothing;357,43;-203,74;96;Japan;Under Armour;Gray;XL;Male
S000096;T-shirt;Clothing;291,01;-229,90;5;Australia;Adidas;White;XL;Female
S000097;Cap;Accessories;48,11;-31,27;224;Germany;Under Armour;Blue;M;Male
S000098;Football shoes;Footwear;156,88;-83,15;333;Spain;Reebok;Gray;L;Male
S000099;Belt;Accessories;448,39;-336,29;317;Brazil;Nike;Gray;S;Male
S000100;Running shoes;Footwear;83,40;-59,21;146;Brazil;Under Armour;Red;XL;Female
S000101;Foam Roller;Equipment;32,13;-24,74;62;EE.UU.;Adidas;Blue;S;Female
S000102;Cap;Accessories;339,71;-220,81;216;Mexico;Nike;White;M;Male
S000103;Cap;Accessories;476,50;-357,38;482;Australia;Adidas;Gray;S;Female
S000104;Sunglasses;Accessories;499,18;-289,52;387;Germany;Under Armour;Green;M;Male
S000105;Shorts;Clothing;129,25;-86,60;87;Spain;Under Armour;Green;M;Female
S000106;Running shoes;Footwear;444,60;-297,88;125;Australia;Under Armour;Blue;XL;Male
S000107;Sneakers;Footwear;13,99;-7,69;48;Brazil;Under Armour;Gray;L;Female
S000108;Weight Discs;Equipment;128,61;-88,74;372;Mexico;Nike;White;M;Male
S000109;T-shirt;Clothing;481,01;-370,38;85;Uruguay;Under Armour;Red;XL;Female
S000110;Football shoes;Footwear;117,16;-65,61;124;Australia;Under Armour;Blue;XL;Female
S000111;Balls;Equipment;434,52;-347,62;71;Mexico;Puma;Green;M;Female
S000112;Football shoes;Footwear;499,55;-284,74;370;Spain;Reebok;Gray;L;Male
S000113;Bracelet;Accessories;111,57;-73,64;289;EE.UU.;Nike;Gray;M;Female
S000114;Coat;Clothing;377,49;-298,22;198;Mexico;Reebok;Green;S;Female
S000115;Pants;Clothing;328,22;-167,39;354;Uruguay;Puma;White;M;Female
S000116;Bracelet;Accessories;377,75;-230,43;465;Spain;Puma;Black;L;Female
S000117;Weight Discs;Equipment;149,17;-111,88;352;Mexico;Reebok;Blue;S;Female
S000118;Running shoes;Footwear;491,48;-373,52;75;Brazil;Reebok;Gray;S;Male
S000119;Weight Discs;Equipment;195,84;-137,09;417;Spain;Adidas;White;XL;Male
S000120;Gloves;Accessories;422,51;-278,86;376;Uruguay;Adidas;Blue;M;Male
S000121;Yoga mat;Equipment;24,27;-18,20;430;Australia;Under Armour;White;XL;Female
S000122;Balls;Equipment;447,11;-232,50;308;Spain;Reebok;White;XL;Female
S000123;Sunglasses;Accessories;390,96;-238,49;37;Uruguay;Adidas;Gray;XL;Female
S000124;Football shoes;Footwear;467,77;-360,18;99;EE.UU.;Under Armour;Black;XL;Female
S000125;Jump Rope;Equipment;318,90;-216,85;332;Australia;Under Armour;White;M;Female
S000126;Backpack;Accessories;232,33;-171,92;111;Brazil;Nike;Blue;S;Male
S000127;Pants;Clothing;381,78;-290,15;325;Mexico;Under Armour;Red;S;Male
S000128;Rackets;Equipment;408,19;-236,75;217;Uruguay;Puma;White;L;Male
S000129;Shorts;Clothing;356,00;-242,08;317;EE.UU.;Adidas;White;XL;Female
S000130;Running shoes;Footwear;355,85;-252,65;234;EE.UU.;Reebok;Gray;M;Female
S000131;Resitance bands;Equipment;264,86;-188,05;226;Mexico;Reebok;Red;M;Male
S000132;Foam Roller;Equipment;373,18;-205,25;64;Uruguay;Reebok;Black;L;Female
S000133;Sandals;Footwear;96,35;-66,48;429;Mexico;Puma;White;XL;Male
S000134;T-shirt;Clothing;76,10;-38,81;446;EE.UU.;Nike;Red;XL;Female
S000135;Yoga mat;Equipment;291,39;-218,54;327;Germany;Reebok;Red;M;Male
S000136;Foam Roller;Equipment;321,13;-160,57;498;Japan;Nike;Black;S;Male
S000137;Towel;Accessories;35,21;-26,76;16;Spain;Nike;Red;M;Female
S000138;Resitance bands;Equipment;147,09;-89,72;78;Germany;Reebok;Black;XL;Male
S000139;Shorts;Clothing;453,02;-271,81;275;Uruguay;Puma;Gray;S;Female
S000140;Bracelet;Accessories;453,48;-335,58;269;Uruguay;Adidas;White;M;Male
S000141;Jacket;Clothing;479,92;-331,14;130;Australia;Puma;White;S;Female
S000142;Weight Discs;Equipment;196,36;-106,03;249;Mexico;Nike;Black;L;Male
S000143;Weight Discs;Equipment;462,00;-277,20;454;Uruguay;Reebok;Blue;S;Female
S000144;Running shoes;Footwear;403,83;-226,14;288;Australia;Reebok;Green;M;Male
S000145;Gloves;Accessories;471,36;-287,53;275;EE.UU.;Reebok;Red;M;Male
S000146;Backpack;Accessories;314,48;-239,00;200;Brazil;Under Armour;Green;M;Male
S000147;Leggings;Clothing;190,98;-124,14;469;Brazil;Puma;Blue;XL;Male
S000148;Sneakers;Footwear;60,12;-36,07;445;Australia;Nike;Black;L;Male
S000149;Running shoes;Footwear;38,58;-27,39;407;Australia;Puma;Blue;XL;Male
S000150;Weight Discs;Equipment;213,72;-128,23;293;Mexico;Under Armour;Red;S;Female
S000151;Sunglasses;Accessories;369,15;-236,26;312;Germany;Nike;White;M;Female
S000152;Shorts;Clothing;240,23;-163,36;455;Australia;Reebok;Black;XL;Male
S000153;Jump Rope;Equipment;76,71;-45,26;0;Japan;Puma;Red;S;Female
S000154;Running shoes;Footwear;47,04;-33,87;321;Mexico;Adidas;Red;L;Male
S000155;Sandals;Footwear;280,56;-171,14;79;Uruguay;Nike;Red;S;Male
S000156;Bracelet;Accessories;94,35;-49,06;467;Spain;Adidas;White;L;Male
S000157;Coat;Clothing;308,34;-157,25;388;Uruguay;Puma;Green;XL;Female
S000158;Jump Rope;Equipment;287,32;-166,65;348;Japan;Under Armour;White;L;Female
S000159;Cap;Accessories;198,64;-145,01;194;Mexico;Nike;Blue;L;Female
S000160;Towel;Accessories;201,83;-115,04;426;Spain;Nike;Green;M;Female
S000161;T-shirt;Clothing;260,10;-189,87;457;Australia;Adidas;White;L;Male
S000162;Towel;Accessories;246,56;-187,39;154;Germany;Under Armour;Red;XL;Female
S000163;Jacket;Clothing;214,72;-169,63;459;Uruguay;Nike;Gray;S;Male
S000164;Shorts;Clothing;49,88;-27,93;182;Spain;Nike;Green;L;Female
S000165;Football shoes;Footwear;10,33;-6,82;247;Germany;Nike;Green;L;Male
S000166;Resitance bands;Equipment;451,69;-347,80;145;Mexico;Adidas;Red;XL;Male
S000167;Belt;Accessories;49,44;-36,09;324;Uruguay;Puma;Gray;M;Female
S000168;Shorts;Clothing;250,22;-197,67;369;Mexico;Adidas;Green;S;Female
S000169;Pants;Clothing;341,51;-201,49;89;Australia;Reebok;White;L;Male
S000170;Sunglasses;Accessories;140,02;-78,41;249;Japan;Adidas;Green;XL;Male
S000171;Jacket;Clothing;261,17;-167,15;477;Mexico;Reebok;Blue;XL;Female
S000172;Shorts;Clothing;321,68;-244,48;98;Mexico;Nike;White;S;Male
S000173;Gloves;Accessories;442,93;-301,19;417;Australia;Puma;Blue;M;Female
S000174;Running shoes;Footwear;12,91;-7,75;395;Brazil;Nike;Blue;L;Female
S000175;Yoga mat;Equipment;351,81;-277,93;168;Uruguay;Adidas;Red;M;Male
S000176;Jacket;Clothing;320,74;-202,07;248;Spain;Puma;Gray;L;Male
S000177;Bracelet;Accessories;19,45;-13,42;345;Spain;Reebok;Red;L;Female
S000178;Sneakers;Footwear;31,26;-22,51;478;Brazil;Adidas;Blue;M;Female
S000179;Running shoes;Footwear;252,19;-158,88;17;Japan;Adidas;Red;S;Female
S000180;Bracelet;Accessories;314,19;-201,08;127;Germany;Reebok;White;S;Female
S000181;Gloves;Accessories;357,45;-228,77;246;Spain;Under Armour;White;M;Male
S000182;Backpack;Accessories;197,58;-136,33;212;Spain;Adidas;Black;M;Female
S000183;Jump Rope;Equipment;207,32;-161,71;333;Uruguay;Puma;White;S;Male
S000184;Boots;Footwear;398,98;-291,26;64;Mexico;Nike;Red;M;Male
S000185;Pants;Clothing;473,62;-322,06;181;Australia;Adidas;Gray;XL;Female
S000186;Sneakers;Footwear;331,68;-215,59;369;Japan;Puma;Green;S;Female
S000187;Weight Discs;Equipment;254,71;-132,45;481;EE.UU.;Puma;Green;XL;Male
S000188;Sneakers;Footwear;177,06;-90,30;470;Brazil;Reebok;Red;L;Male
S000189;Towel;Accessories;262,74;-181,29;393;Germany;Adidas;Red;S;Male
S000190;Yoga mat;Equipment;457,55;-356,89;188;Germany;Puma;Green;XL;Female
S000191;Coat;Clothing;10,07;-5,84;389;Brazil;Adidas;White;L;Male
S000192;Balls;Equipment;402,22;-289,60;32;Japan;Puma;Blue;L;Female
S000193;Cap;Accessories;172,27;-91,30;378;Uruguay;Reebok;Green;XL;Male
S000194;Yoga mat;Equipment;309,68;-232,26;46;Uruguay;Puma;Gray;XL;Male
S000195;Sandals;Footwear;495,32;-312,05;325;Australia;Adidas;Green;S;Female
S000196;Gloves;Accessories;403,46;-314,70;57;Uruguay;Adidas;Red;XL;Male
S000197;Towel;Accessories;366,54;-197,93;237;Uruguay;Under Armour;Green;M;Female
S000198;Weight Discs;Equipment;172,91;-89,91;442;Brazil;Puma;Gray;S;Female
S000199;Sneakers;Footwear;451,79;-243,97;92;Brazil;Puma;Blue;M;Female
S000200;Sandals;Footwear;215,17;-148,47;443;Uruguay;Reebok;Red;M;Male
S000201;Rackets;Equipment;333,93;-233,75;210;Australia;Nike;Green;M;Female
S000202;Jump Rope;Equipment;38,88;-21,00;269;Japan;Puma;Black;M;Male
S000203;Rackets;Equipment;131,27;-84,01;451;Uruguay;Reebok;Green;M;Male
S000204;Boots;Footwear;287,62;-204,21;200;Brazil;Under Armour;Green;L;Male
S000205;Resitance bands;Equipment;228,08;-145,97;464;Australia;Reebok;Red;XL;Male
S000206;Sunglasses;Accessories;306,36;-159,31;81;Spain;Adidas;Blue;M;Male
S000207;Sandals;Footwear;429,21;-223,19;227;Uruguay;Puma;Green;L;Male
S000208;Belt;Accessories;452,46;-257,90;376;Japan;Under Armour;White;L;Male
S000209;Running shoes;Footwear;347,23;-246,53;120;Mexico;Reebok;Gray;M;Male
S000210;Leggings;Clothing;339,96;-251,57;214;Mexico;Under Armour;Gray;M;Male
S000211;Balls;Equipment;356,69;-242,55;181;Brazil;Under Armour;Blue;L;Male
S000212;Sunglasses;Accessories;390,24;-257,56;369;EE.UU.;Under Armour;Black;L;Female
S000213;Coat;Clothing;52,59;-35,76;265;Australia;Reebok;Black;S;Female
S000214;Sandals;Footwear;355,59;-248,91;65;Germany;Under Armour;Blue;XL;Male
S000215;Running shoes;Footwear;363,72;-218,23;338;EE.UU.;Adidas;Blue;XL;Male
S000216;Running shoes;Footwear;93,68;-47,78;315;Spain;Adidas;Red;L;Female
S000217;Jump Rope;Equipment;198,26;-113,01;47;Mexico;Nike;Green;S;Female
S000218;Bracelet;Accessories;369,93;-247,85;234;EE.UU.;Puma;Blue;M;Female
S000219;Sunglasses;Accessories;51,35;-39,03;217;Uruguay;Reebok;Green;XL;Male
S000220;Coat;Clothing;214,55;-113,71;263;EE.UU.;Puma;Red;L;Male
S000221;Resitance bands;Equipment;281,85;-205,75;148;Uruguay;Reebok;Blue;S;Male
S000222;Leggings;Clothing;334,51;-247,54;416;EE.UU.;Under Armour;Gray;XL;Female
S000223;T-shirt;Clothing;203,63;-130,32;295;Brazil;Reebok;White;L;Male
S000224;Foam Roller;Equipment;283,48;-167,25;318;Japan;Under Armour;Black;XL;Female
S000225;Foam Roller;Equipment;243,91;-175,62;398;Spain;Under Armour;Gray;S;Female
S000226;Sandals;Footwear;144,69;-89,71;29;Brazil;Puma;Green;S;Female
S000227;Jump Rope;Equipment;339,56;-230,90;384;EE.UU.;Under Armour;Gray;L;Male
S000228;Towel;Accessories;50,06;-33,54;253;Germany;Nike;Black;M;Female
S000229;Weight Discs;Equipment;365,81;-223,14;401;Spain;Nike;White;M;Male
S000230;T-shirt;Clothing;170,85;-92,26;119;Brazil;Nike;Black;L;Male
S000231;Sandals;Footwear;462,98;-319,46;480;Brazil;Nike;Blue;XL;Male
S000232;Sandals;Footwear;96,98;-73,70;433;Germany;Under Armour;White;S;Female
S000233;Shorts;Clothing;333,08;-189,86;164;Australia;Nike;Blue;L;Male
S000234;Balls;Equipment;28,94;-19,68;270;EE.UU.;Puma;Blue;M;Female
S000235;Sunglasses;Accessories;274,18;-142,57;60;Germany;Nike;Gray;XL;Male
S000236;Boots;Footwear;90,58;-63,41;0;Uruguay;Puma;Gray;S;Male
S000237;Weight Discs;Equipment;64,55;-44,54;404;Spain;Adidas;White;XL;Male
S000238;Pants;Clothing;355,08;-191,74;375;Uruguay;Nike;White;S;Female
S000239;Football shoes;Footwear;22,08;-14,35;277;Uruguay;Under Armour;White;L;Male
S000240;Foam Roller;Equipment;260,01;-153,41;20;Uruguay;Reebok;White;L;Female
S000241;Sunglasses;Accessories;210,18;-163,94;457;Germany;Reebok;White;M;Female
S000242;Bracelet;Accessories;418,98;-305,86;155;Germany;Adidas;White;L;Male
S000243;Foam Roller;Equipment;139,60;-110,28;16;Germany;Under Armour;Gray;L;Male
S000244;Foam Roller;Equipment;205,60;-111,02;423;Germany;Nike;Gray;L;Male
S000245;Running shoes;Footwear;253,01;-156,87;476;Germany;Reebok;Green;M;Female
S000246;Weight Discs;Equipment;101,15;-62,71;279;Mexico;Under Armour;Black;S;Male
S000247;T-shirt;Clothing;218,88;-116,01;499;Uruguay;Reebok;Blue;M;Male
S000248;Towel;Accessories;241,68;-161,93;384;Germany;Adidas;White;L;Female
S000249;T-shirt;Clothing;452,72;-249,00;268;Brazil;Reebok;Green;L;Male
S000250;Running shoes;Footwear;235,96;-179,33;77;EE.UU.;Puma;Blue;L;Male
S000251;Belt;Accessories;286,08;-214,56;121;Japan;Nike;Blue;L;Female
S000252;Pants;Clothing;220,30;-121,17;123;Mexico;Nike;Blue;XL;Female
S000253;Boots;Footwear;11,84;-9,12;136;Australia;Puma;Blue;S;Male
S000254;Sandals;Footwear;391,91;-286,09;441;Mexico;Reebok;White;M;Female
S000255;Shorts;Clothing;410,42;-287,29;104;Mexico;Puma;Blue;S;Female
S000256;Bracelet;Accessories;103,63;-76,69;448;Germany;Puma;Blue;M;Male
S000257;Jump Rope;Equipment;497,04;-308,16;16;Japan;Nike;Red;S;Male
S000258;Foam Roller;Equipment;13,01;-7,81;374;Japan;Under Armour;Green;XL;Female
S000259;Gloves;Accessories;172,26;-115,41;252;Uruguay;Reebok;Green;M;Male
S000260;T-shirt;Clothing;170,32;-115,82;197;Brazil;Reebok;Red;M;Male
S000261;Sandals;Footwear;124,18;-63,33;345;Spain;Adidas;Green;XL;Male
S000262;Weight Discs;Equipment;361,52;-267,52;454;Spain;Reebok;Blue;M;Female
S000263;Pants;Clothing;346,32;-204,33;321;Mexico;Adidas;Green;S;Male
S000264;Towel;Accessories;50,42;-39,83;36;Brazil;Adidas;Red;L;Female
S000265;Football shoes;Footwear;293,39;-158,43;171;Japan;Puma;Gray;XL;Female
S000266;Leggings;Clothing;27,02;-19,72;332;Mexico;Adidas;Gray;XL;Female
S000267;Sunglasses;Accessories;438,15;-249,75;108;Germany;Adidas;Black;M;Female
S000268;Running shoes;Footwear;147,57;-103,30;363;EE.UU.;Puma;White;M;Female
S000269;Running shoes;Footwear;227,09;-161,23;295;Uruguay;Puma;Black;XL;Female
S000270;Football shoes;Footwear;418,64;-259,56;317;Japan;Under Armour;Gray;M;Female
S000271;Towel;Accessories;426,93;-315,93;334;Germany;Nike;White;S;Male
S000272;Backpack;Accessories;299,20;-194,48;269;Uruguay;Adidas;Black;XL;Male
S000273;Jump Rope;Equipment;171,35;-99,38;413;Australia;Puma;Black;L;Male
S000274;Resitance bands;Equipment;94,51;-49,15;371;Uruguay;Reebok;Gray;L;Male
S000275;Running shoes;Footwear;446,21;-321,27;415;EE.UU.;Puma;Black;XL;Male
S000276;Pants;Clothing;456,50;-273,90;382;Australia;Puma;Blue;S;Male
S000277;Cap;Accessories;403,39;-282,37;62;Australia;Adidas;Blue;S;Female
S000278;Weight Discs;Equipment;275,55;-154,31;193;Brazil;Puma;Blue;S;Female
S000279;Towel;Accessories;210,71;-166,46;210;Japan;Reebok;Gray;M;Male
S000280;Resitance bands;Equipment;50,11;-28,56;151;Mexico;Under Armour;White;L;Female
S000281;Running shoes;Footwear;352,92;-275,28;144;EE.UU.;Nike;Gray;M;Female
S000282;Jump Rope;Equipment;392,06;-211,71;356;Spain;Under Armour;Blue;M;Female
S000283;Jump Rope;Equipment;127,52;-85,44;71;Australia;Under Armour;Blue;S;Male
S000284;Bracelet;Accessories;212,53;-131,77;291;Uruguay;Under Armour;Gray;XL;Male
S000285;Foam Roller;Equipment;57,30;-44,12;86;Uruguay;Adidas;Gray;S;Male
S000286;Running shoes;Footwear;82,15;-50,93;404;Brazil;Puma;Red;L;Male
S000287;Sandals;Footwear;48,91;-25,92;345;Japan;Under Armour;Blue;S;Female
S000288;Towel;Accessories;298,71;-212,08;326;Uruguay;Puma;White;L;Female
S000289;T-shirt;Clothing;167,95;-115,89;77;Uruguay;Puma;Black;L;Female
S000290;Pants;Clothing;103,70;-64,29;279;Germany;Nike;Red;M;Female
S000291;Balls;Equipment;11,24;-7,19;147;Japan;Puma;Gray;S;Male
S000292;Coat;Clothing;61,21;-44,07;63;Australia;Reebok;Blue;XL;Male
S000293;Resitance bands;Equipment;489,87;-328,21;5;Uruguay;Reebok;White;S;Male
S000294;T-shirt;Clothing;23,62;-13,70;117;Brazil;Nike;Blue;L;Female
S000295;T-shirt;Clothing;358,78;-261,91;499;Brazil;Reebok;Blue;L;Male
S000296;Balls;Equipment;167,36;-113,80;180;Australia;Puma;Black;M;Male
S000297;T-shirt;Clothing;215,92;-164,10;496;Germany;Under Armour;White;M;Female
S000298;Bracelet;Accessories;377,31;-226,39;446;Mexico;Puma;Black;M;Female
S000299;Gloves;Accessories;200,38;-114,22;353;EE.UU.;Reebok;Black;M;Male
S000300;Leggings;Clothing;216,89;-162,67;30;Uruguay;Nike;White;M;Male
S000301;Belt;Accessories;346,11;-231,89;297;Spain;Nike;Gray;XL;Male
S000302;T-shirt;Clothing;388,59;-291,44;496;Japan;Reebok;Blue;L;Male
S000303;Sneakers;Footwear;97,78;-76,27;115;Mexico;Puma;Green;S;Male
S000304;Foam Roller;Equipment;256,03;-192,02;202;Japan;Puma;Black;XL;Male
S000305;Sunglasses;Accessories;457,78;-233,47;341;Australia;Adidas;Red;S;Female
S000306;Rackets;Equipment;32,91;-24,02;460;Australia;Under Armour;Red;XL;Male
S000307;Leggings;Clothing;376,52;-263,56;12;Australia;Adidas;White;S;Male
S000308;Pants;Clothing;40,92;-29,87;401;Germany;Puma;Green;S;Female
S000309;Running shoes;Footwear;340,64;-245,26;368;Spain;Adidas;White;S;Male
S000310;Balls;Equipment;326,31;-241,47;498;Spain;Adidas;Green;S;Male
S000311;Sunglasses;Accessories;152,09;-117,11;453;Germany;Reebok;Red;S;Female
S000312;Leggings;Clothing;374,52;-243,44;348;Japan;Under Armour;Gray;M;Female
S000313;Coat;Clothing;279,81;-142,70;320;Uruguay;Adidas;Green;M;Male
S000314;Balls;Equipment;29,90;-19,44;279;Germany;Adidas;Red;M;Female
S000315;Jump Rope;Equipment;473,34;-312,40;406;Uruguay;Adidas;Red;L;Male
S000316;Yoga mat;Equipment;435,63;-222,17;267;Japan;Under Armour;White;S;Male
S000317;Yoga mat;Equipment;126,69;-83,62;90;Japan;Adidas;Blue;XL;Male
S000318;Balls;Equipment;91,60;-63,20;475;Japan;Adidas;Blue;XL;Male
